Id,Type,ParentId,Name,Order,Completed,Counter,Percentage,Note,Deleted,Priority,CreationDate,IterationDate,ResetDays,Collapsed,Forecast
6729627f-f2c2-4fab-b99e-355c7fce61f7,category,,Salud y Bienestar (Personal),4,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
726ab114-d667-4b01-a31f-be3f09f2f815,category,,Tecnología y Desarrollo (Software/IA),7,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
6cf296ec-1c19-4ed8-811b-3399ef7747a9,category,,Reformas y Construcción (Interior),8,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
a24bc5f3-56fc-4aa9-a635-0ea98e7ac0eb,category,,Obras y Estructuras (Exteriores),5,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
88396aa6-c80e-4c71-b884-d1863cc18104,category,,Jardinería y Huerto (Plantas),3,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
5d7a2359-e014-4965-99fa-20a5cdf3cb09,category,,Mantenimiento y Reparaciones (Hogar/Taller),9,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
18167c66-b9fa-40d4-92d8-76906358cc53,category,,Organización y Limpieza (Hogar),11,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
fb0c361a-1ec0-4dac-ab35-a0144937e691,category,,Proyectos con Madera (Diseño),12,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
a59b1984-82ac-455c-bedb-18777a7940db,category,,Vehículos (Coche/Furgoneta),14,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
579b120a-48c3-49b4-a677-bcbc63d79148,category,,Asuntos Financieros (Trámites),15,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
74168259-72e1-44d1-a7bd-369f2d01dba2,category,,Bebé (Maria),16,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
d3b825a9-2a83-4f06-a333-fd116ace3af6,category,,Mascotas (Tortuga),17,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
b8c736b6-1258-4318-8b56-6b394295dbd9,category,,Asuntos Familiares (Padres),6,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
976fdfc2-4307-4212-b688-65d5ccb46d58,category,,Rol y Ocio (Específico),18,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
8c99c642-7c0f-4fd3-8e55-3066c7b7f19a,category,,Adquisiciones (Compras),1,false,0,0,,false,500,2026-03-28,2026-03-28,0,false,0.5
7714f003-f6d2-4677-9ffc-02043b658253,category,,Mantenimiento y Acondicionamiento (Terreno/Exterior),10,false,0,0,,false,500,2026-03-28,2026-03-28,0,true,0.5
